pd_location,signal_width,rise_time,fall_time,peak_voltage,polarity,abs(mean),rms,sd,NewSkewness,kurtosis,crest,abs(formFactor),MainFreq,phase_angle,T,W,pC,pd_class
1193841,24,8,16,2.13439,-1,1.36264,1.54631,0.7460217,0.353536,1.748345,1.380312,1.13479,0,214.8914,36.7083,2.972544,68131.99,31
1190798,30,10,20,2.556745,-1,1.395435,1.607297,0.8107844,0.06869216,1.738285,1.590711,1.151825,0,214.3436,38.26267,2.325664,86516.97,31
1347205,27,11,16,4.549728,-1,2.592149,2.989121,1.515806,0.2188991,1.717815,1.522096,1.153144,0,242.4969,39.41148,2.493873,145160.4,31
1213875,25,12,13,3.31028,-1,2.004197,2.269555,1.086019,0.4163597,1.868351,1.458559,1.132401,0,218.4975,37.69928,2.995999,104218.3,31
1183224,27,11,16,1.766876,-1,1.024741,1.172622,0.5805017,0.2821227,1.765829,1.506774,1.14431,0,212.9803,41.77387,2.608021,57385.52,31
1320988,26,11,15,4.53619,-1,2.67373,3.057905,1.512164,0.3130804,1.742342,1.483431,1.143685,0,237.7778,38.61872,2.607971,144381.4,31
1211357,25,14,11,2.846014,-1,1.773978,2.007117,0.9574877,0.3207256,1.834737,1.417961,1.131422,0,218.0443,38.24287,2.955374,92246.85,31
1175945,29,13,16,1.910495,-1,1.113337,1.269517,0.6204747,0.2712868,1.7695,1.504898,1.140282,0,211.6701,42.63824,2.101355,66800.2,31
1303443,25,11,14,4.326342,-1,2.626605,2.988782,1.454342,0.3998924,1.769498,1.447527,1.137888,0,234.6197,39.31231,2.764161,136583.5,31
1259735,25,10,15,4.427347,-1,2.714158,3.05997,1.441054,0.4045781,1.8035,1.44686,1.127411,0,226.7523,36.83884,2.740106,141136.2,31
356150,26,11,15,4.981141,1,3.049651,3.44772,1.638866,0.3372043,1.760072,1.444764,1.13053,0,64.107,40.95883,2.440351,164681.1,31
1131084,26,12,14,3.756734,-1,2.181585,2.505309,1.255236,0.2759186,1.723531,1.499509,1.148389,0,203.5951,38.97274,2.620259,117805.6,31
1343549,24,11,13,5.341039,-1,3.207189,3.639621,1.756175,0.3729722,1.824024,1.467471,1.134832,0,241.8388,36.33808,3.229376,160359.4,31
340149,25,12,13,5.032664,1,3.073348,3.467766,1.638026,0.3832479,1.833516,1.45127,1.128335,0,61.22682,37.53002,2.832344,159814.1,31
1122313,24,9,15,2.669102,-1,1.736528,1.949223,0.9036637,0.5025622,1.858493,1.369316,1.122483,0,202.0163,36.80038,2.954207,86826.38,31
1258614,24,12,12,4.5266,-1,2.804349,3.152498,1.469789,0.4108895,1.844725,1.435877,1.124146,0,226.5505,39.00604,3.170413,140217.5,31
1165124,25,11,14,1.832209,-1,1.166821,1.30833,0.603546,0.5191415,1.911386,1.400418,1.121278,0,209.7223,39.88008,2.963674,60674.68,31
1295096,26,12,14,4.544539,-1,2.661832,3.050331,1.518065,0.3223947,1.750766,1.489851,1.145952,0,233.1173,38.86703,2.652103,143738.9,31
338591,26,11,15,5.066491,1,3.05309,3.470081,1.680691,0.3212226,1.745665,1.46005,1.13658,0,60.94638,39.66541,2.491184,164866.9,31
1139406,25,9,16,3.746938,-1,2.295343,2.634238,1.318118,0.3402021,1.71895,1.422399,1.147645,0,205.0931,37.59837,2.875124,119357.8,31
1374052,26,11,15,5.380141,-1,3.198295,3.644296,1.780219,0.3195766,1.75236,1.476318,1.13945,0,247.3294,38.79425,2.57448,172707.9,31
1187151,23,11,12,1.58373,-1,1.050981,1.168278,0.5211817,0.6300088,2.017124,1.355611,1.111607,0,213.6872,37.38839,3.687293,50447.08,31
1334865,30,15,15,4.792741,-1,2.716493,3.070468,1.454896,0.09334959,1.823236,1.560916,1.130306,0,240.2757,49.1596,2.056798,168422.5,31
1249077,27,13,14,4.47668,-1,2.62841,2.97302,1.41485,0.2546841,1.790469,1.505768,1.13111,0,224.8339,40.67279,2.409159,147191,31
1179703,24,12,12,2.06763,-1,1.240687,1.413929,0.6921369,0.3330273,1.764134,1.462329,1.139634,0,212.3465,36.1948,3.151019,62034.37,31
1311733,26,11,15,4.416263,-1,2.620133,2.971618,1.428638,0.2944809,1.755567,1.486148,1.134148,0,236.1119,38.62566,2.538118,141487.2,31
1301058,24,11,13,4.773884,-1,2.97099,3.354205,1.588995,0.445482,1.798555,1.423254,1.128986,0,234.1904,36.29398,2.986127,148549.5,31
333627,26,11,15,5.279003,1,3.184716,3.579783,1.665897,0.329357,1.84427,1.474671,1.124051,0,60.05286,38.8912,2.676658,171974.7,31
1188948,27,13,14,4.771387,-1,2.80608,3.189157,1.543275,0.2724439,1.833132,1.496128,1.136517,0,214.0106,40.15586,2.612654,157140.5,31
1307742,25,12,13,4.191211,-1,2.531562,2.878603,1.397371,0.4072614,1.82602,1.455988,1.137085,0,235.3936,37.75165,2.930029,131641.2,31
1188370,26,11,15,2.172261,-1,1.330244,1.513385,0.7354022,0.3671795,1.739306,1.435366,1.137675,0,213.9066,39.8356,2.520416,71833.17,31
1355193,25,11,14,4.745976,-1,2.845614,3.224639,1.54687,0.3304375,1.774725,1.471786,1.133196,0,243.9347,38.13567,2.754484,147971.9,31
376053,26,13,13,5.162843,1,3.087872,3.499,1.676963,0.3366524,1.839065,1.475519,1.133143,0,67.68954,40.38225,2.765547,166745.1,31
1142943,24,11,13,4.359217,-1,2.629233,2.983401,1.438973,0.3862168,1.782479,1.461157,1.134704,0,205.7297,37.71177,3.055686,131461.6,31
1230311,26,12,14,3.409797,-1,2.005784,2.269711,1.082507,0.2670268,1.783203,1.502305,1.131583,0,221.456,39.57123,2.567901,108312.3,31
1242190,25,9,16,4.325391,-1,2.709135,3.061467,1.454131,0.3945258,1.834001,1.412849,1.130053,0,223.5942,37.1905,2.865355,140875,31
1183146,26,12,14,2.705165,-1,1.618248,1.845243,0.903568,0.3267356,1.758415,1.466021,1.140272,0,212.9663,37.91375,2.637237,87385.38,31
1189249,26,11,15,2.475721,-1,1.481268,1.686935,0.8225912,0.3405252,1.733109,1.467585,1.138845,0,214.0648,38.72548,2.524634,79988.48,31
1302064,25,14,11,3.883799,-1,2.410984,2.712416,1.267331,0.3240314,1.838372,1.43186,1.125024,0,234.3715,39.41896,2.88518,125371.2,31
398494,26,11,15,6.412748,1,3.73722,4.282276,2.130537,0.2867452,1.739385,1.497509,1.145845,0,71.72892,38.76716,2.617504,201809.9,31
1103209,26,14,12,3.920109,-1,2.319307,2.637963,1.280789,0.250826,1.770628,1.486037,1.137393,0,198.5776,40.8248,2.645143,125242.6,31
1217009,28,11,17,4.10758,-1,2.38532,2.717052,1.324036,0.1934963,1.773957,1.511778,1.139072,0,219.0616,41.04216,2.290941,138348.6,31
1317665,25,13,12,2.535889,-1,1.568187,1.776336,0.8508845,0.4153354,1.783862,1.427595,1.132732,0,237.1797,39.62359,2.840578,81545.75,31
1193175,29,10,19,2.11967,-1,1.219559,1.394873,0.688588,0.1964954,1.748506,1.519615,1.143753,0,214.7715,41.09046,2.127391,73173.51,31
407378,27,13,14,5.36603,1,3.115399,3.534884,1.700886,0.2336286,1.761494,1.518022,1.134649,0,73.32804,42.53859,2.312291,174462.4,31
1182532,23,10,13,5.002854,-1,3.156765,3.533245,1.621162,0.4715625,1.862886,1.415937,1.119262,0,212.8558,37.29638,3.20641,151524.7,31
1183749,28,13,15,2.502529,-1,1.455429,1.646524,0.7835423,0.2063506,1.785326,1.519886,1.131298,0,213.0748,43.60008,2.198658,84414.87,31
1314243,26,10,16,4.0672,-1,2.489386,2.802476,1.311699,0.3336817,1.81576,1.451288,1.12577,0,236.5637,38.23458,2.652003,134426.8,31
1153968,30,13,17,1.034895,-1,0.5833765,0.6628265,0.3198614,0.2439077,1.906284,1.561335,1.13619,0,207.7142,43.11948,2.451618,36169.34,31
1268432,24,12,12,4.792235,-1,2.946445,3.332977,1.590073,0.3639554,1.805184,1.437824,1.131186,0,228.3178,36.21522,3.074068,147322.2,31
1186221,30,15,15,2.026978,-1,1.139541,1.288811,0.6120148,0.1374636,1.88821,1.572751,1.130991,0,213.5198,46.51224,2.174192,70651.54,31
1389152,27,10,17,5.015512,-1,2.92296,3.353469,1.673958,0.2850227,1.743346,1.495619,1.147285,0,250.0474,38.4532,2.515933,163685.8,31
412836,26,12,14,6.740416,1,3.953786,4.511505,2.214235,0.3014077,1.750295,1.494051,1.141059,0,74.31048,39.05895,2.576006,213504.4,31
1107025,25,10,15,3.956653,-1,2.379706,2.704193,1.309826,0.3663416,1.818853,1.463155,1.136356,0,199.2645,35.96443,3.068169,123744.7,31
1197374,23,11,12,3.417109,-1,2.176421,2.421708,1.084849,0.4950252,1.938299,1.411033,1.112702,0,215.5273,36.83867,3.239997,104468.2,31
1314403,24,11,13,3.407461,-1,2.096102,2.357168,1.100471,0.4134361,1.863432,1.445574,1.124548,0,236.5925,37.79675,3.122618,104805.1,31
1284559,24,13,11,4.362153,-1,2.838747,3.179431,1.461412,0.5435775,1.900569,1.371992,1.120012,0,231.2206,39.01249,3.048799,141937.4,31
1198434,24,10,14,2.649179,-1,1.669764,1.870185,0.8596771,0.3975847,1.856742,1.416533,1.12003,0,215.7181,37.81971,3.017946,83488.18,31
368784,28,10,18,2.727864,1,1.642145,1.878265,0.9278618,0.3699529,1.74238,1.452331,1.143788,0,66.38112,38.59044,2.376242,95244.4,31
1139699,26,12,14,3.339129,-1,1.960783,2.24136,1.106512,0.3140466,1.75656,1.489778,1.143094,0,205.1458,39.83832,2.606147,105882.3,31
1254873,26,12,14,3.900056,-1,2.272148,2.571326,1.2267,0.2528126,1.829782,1.516749,1.131672,0,225.8771,39.24771,2.718415,122696,31
395507,27,12,15,5.463949,1,3.160175,3.604186,1.764849,0.2656756,1.792203,1.516001,1.140502,0,71.19126,40.68318,2.513799,176969.8,31
1115385,24,11,13,3.763667,-1,2.310644,2.607424,1.233046,0.4181172,1.850965,1.443443,1.128441,0,200.7693,36.84315,3.155431,115532.2,31
1233988,26,10,16,4.096176,-1,2.348971,2.70668,1.370404,0.2494684,1.693541,1.513358,1.152283,0,222.1178,37.4562,2.666784,126844.4,31
295676,26,11,15,4.802308,1,2.941298,3.310999,1.549319,0.3566423,1.796492,1.450411,1.125693,0,53.22168,38.99566,2.534671,158830.1,31
1123241,27,11,16,4.69218,-1,2.732476,3.115623,1.524359,0.2427773,1.762508,1.506017,1.14022,0,202.1834,40.10409,2.421377,153018.6,31
1247968,24,11,13,4.345536,-1,2.678327,3.000048,1.379482,0.3840056,1.857548,1.448489,1.12012,0,224.6342,37.68393,3.038098,133916.3,31
265675,27,10,17,4.884385,1,2.884072,3.301855,1.637098,0.2988895,1.755197,1.479285,1.144859,0,47.8215,39.63112,2.485166,161508.1,31
1182933,27,11,16,5.565308,-1,3.276786,3.721033,1.795522,0.270449,1.743759,1.495635,1.135574,0,212.9279,40.08825,2.30178,183500,31
1191081,26,12,14,5.337155,-1,3.145487,3.574474,1.730217,0.310174,1.783991,1.49313,1.136382,0,214.3946,39.85859,2.596592,169856.3,31
1332554,24,10,14,4.023146,-1,2.536212,2.847773,1.321868,0.4690503,1.86422,1.412734,1.122845,0,239.8597,36.57953,3.072817,126810.6,31
245709,29,11,18,4.395276,1,2.472331,2.855761,1.453752,0.2069091,1.722714,1.539091,1.155088,0,44.22762,39.9609,2.232743,148339.9,31
1115595,25,12,13,3.970964,-1,2.422775,2.718833,1.258214,0.3632539,1.825306,1.46054,1.122198,0,200.8071,39.91874,2.718515,125984.3,31
1242388,26,11,15,4.402685,-1,2.549984,2.923586,1.457253,0.241812,1.746119,1.505919,1.146511,0,223.6298,39.10344,2.645572,137699.1,31
270990,26,12,14,4.654634,1,2.797054,3.171891,1.524283,0.3472844,1.757144,1.467463,1.134012,0,48.7782,39.89514,2.454984,151040.9,31
1100538,25,13,12,3.632133,-1,2.204948,2.488251,1.175917,0.3244836,1.793724,1.459713,1.128485,0,198.0968,39.34941,2.769294,114657.3,31
1245827,26,11,15,5.015454,-1,2.98314,3.395225,1.652125,0.3119722,1.759578,1.477208,1.138138,0,224.2489,39.81961,2.546504,161089.6,31
347353,28,11,17,6.122211,1,3.424587,3.971718,2.047261,0.1975719,1.693865,1.541452,1.159766,0,62.52354,39.2276,2.376219,198626,31
1156422,25,12,13,5.648993,-1,3.394724,3.838931,1.82805,0.3384771,1.795166,1.471502,1.130852,0,208.156,39.69867,2.775994,176525.7,31
1258696,29,13,16,3.811977,-1,2.144556,2.452393,1.209919,0.1758605,1.774704,1.554391,1.143543,0,226.5653,43.60888,2.126302,128673.4,31
300357,26,10,16,4.617426,1,2.814092,3.186848,1.524114,0.3228425,1.763256,1.4489,1.132461,0,54.06426,39.22067,2.485305,151960.9,31
1104563,25,9,16,4.272409,-1,2.532259,2.886021,1.411896,0.3564967,1.805378,1.480381,1.139702,0,198.8213,35.80012,3.055673,131677.5,31
1265920,25,11,14,5.253745,-1,3.137738,3.570246,1.737041,0.3589697,1.822524,1.471536,1.137841,0,227.8656,39.10921,2.982103,163162.4,31
287921,26,11,15,4.711793,1,2.784967,3.18492,1.574645,0.3258852,1.748453,1.479407,1.143611,0,51.82578,39.06608,2.605804,150388.2,31
1142706,26,11,15,4.904959,-1,2.92808,3.320354,1.595421,0.320255,1.75596,1.47724,1.13397,0,205.6871,39.18759,2.49887,158116.3,31
1260577,24,10,14,4.217503,-1,2.634272,2.955374,1.367344,0.4318965,1.836992,1.427063,1.121894,0,226.9039,36.56258,2.981549,131713.6,31
302299,25,12,13,5.812596,1,3.517971,3.999654,1.940607,0.3885326,1.835479,1.453275,1.136921,0,54.41382,37.61088,3.011234,182934.5,31
1112122,25,13,12,4.62691,-1,2.796117,3.15647,1.493597,0.3291483,1.788837,1.46585,1.128876,0,200.182,39.83057,2.717094,145398.1,31
1263512,26,12,14,4.921135,-1,2.854507,3.257106,1.598489,0.2772863,1.7951,1.510892,1.14104,0,227.4322,39.06022,2.7381,154143.4,31
257075,26,12,14,4.745903,1,2.804195,3.187987,1.545381,0.3029929,1.76903,1.488684,1.136863,0,46.2735,38.97806,2.579686,151426.5,31
1116845,25,11,14,4.30259,-1,2.609892,2.940355,1.38113,0.3455083,1.789442,1.463289,1.12662,0,201.0321,38.53212,2.678325,135714.4,31
1238899,28,13,15,3.964477,-1,2.316393,2.628097,1.263431,0.2836112,1.858334,1.508497,1.134564,0,223.0018,43.20704,2.444002,134350.8,31
308709,27,11,16,5.930747,1,3.499595,3.950186,1.86578,0.2681792,1.803662,1.501384,1.128755,0,55.56762,39.39978,2.44803,195977.3,31
1104746,25,9,16,4.600222,-1,2.79491,3.181566,1.55025,0.3118925,1.769971,1.445899,1.138343,0,198.8543,37.19514,2.875453,145335.3,31
1219282,25,11,14,3.838565,-1,2.337797,2.623147,1.213353,0.3444253,1.843347,1.463344,1.122059,0,219.4708,38.62045,2.805884,121565.5,31
290995,26,11,15,4.519367,1,2.734333,3.090928,1.468725,0.3460784,1.788791,1.462139,1.130414,0,52.3791,38.97957,2.551173,147654,31
1109700,31,13,18,4.32463,-1,2.342439,2.678853,1.320502,0.03748319,1.813385,1.614359,1.143617,0,199.746,44.30398,1.998133,149916.1,31
1224241,23,9,14,3.863107,-1,2.445466,2.752773,1.291089,0.4706975,1.81243,1.403351,1.125664,0,220.3634,34.84746,3.301351,117382.4,31
280981,26,10,16,4.722091,1,2.851583,3.224431,1.533805,0.3444881,1.788211,1.464473,1.130751,0,50.57658,38.6034,2.5606,153985.5,31
1129141,25,12,13,4.502187,-1,2.668783,3.059176,1.524993,0.3631965,1.754394,1.471699,1.146281,0,203.2454,38.05326,2.916051,138776.7,31
1255217,25,12,13,4.407872,-1,2.625001,2.960077,1.395091,0.296503,1.815673,1.489107,1.127648,0,225.9391,37.86687,2.84412,136500.1,31
293847,25,12,13,5.597346,1,3.429535,3.873814,1.836985,0.4040413,1.826068,1.444919,1.129545,0,52.89246,38.12155,2.835204,178335.8,31
1106549,25,10,15,4.529823,-1,2.699767,3.071671,1.49408,0.3348214,1.774704,1.47471,1.137754,0,199.1788,36.20584,2.901706,140387.9,31
1266425,26,14,12,4.792899,-1,2.930055,3.329855,1.612132,0.3157739,1.795402,1.439372,1.136448,0,227.9565,40.12726,2.660088,158223,31
249459,28,11,17,4.620897,1,2.601559,2.969287,1.456612,0.15796,1.761582,1.556231,1.141349,0,44.90262,39.68818,2.330795,150890.4,31
1158443,24,10,14,5.185567,-1,3.097826,3.53869,1.745769,0.3502301,1.723869,1.465392,1.142314,0,208.5197,35.49143,3.080864,154891.3,31
1322498,25,12,13,4.905274,-1,2.909115,3.303756,1.596848,0.3000954,1.765605,1.484757,1.135656,0,238.0496,38.31773,2.763742,151274,31
349539,28,14,14,5.059599,1,2.937302,3.34116,1.620546,0.231674,1.812733,1.514324,1.137493,0,62.91702,42.17168,2.358503,170363.5,31
1102496,26,10,16,4.690155,-1,2.717833,3.12075,1.562992,0.2336597,1.712258,1.502893,1.148249,0,198.4493,37.8962,2.626354,146763,31
1230182,27,13,14,4.409703,-1,2.592307,2.947122,1.427679,0.2951913,1.7668,1.496275,1.136872,0,221.4328,42.92646,2.390214,145169.2,31
259346,24,10,14,4.50929,1,2.852661,3.196587,1.472134,0.4607881,1.862787,1.410658,1.120563,0,46.68228,36.76811,3.028291,142633.1,31
1170946,26,12,14,5.364891,-1,3.193588,3.615104,1.726372,0.3470793,1.859046,1.484021,1.131988,0,210.7703,39.92056,2.783214,172453.7,31
1317661,27,11,16,4.617087,-1,2.746619,3.133774,1.536534,0.2593886,1.757639,1.473331,1.140957,0,237.179,42.07559,2.407037,153810.7,31
280314,27,12,15,4.985827,1,2.845819,3.26211,1.623838,0.2265176,1.738293,1.528406,1.146282,0,50.45652,40.38057,2.41951,159365.9,31
1114351,26,12,14,4.543899,-1,2.637883,3.02004,1.498459,0.2801143,1.737457,1.504582,1.144873,0,200.5832,39.23316,2.587683,142445.7,31
1326183,28,13,15,5.457938,-1,3.187487,3.593061,1.687671,0.2166925,1.815888,1.519022,1.12724,0,238.7129,43.93941,2.273592,184874.2,31
297954,26,10,16,4.834677,1,2.946836,3.312902,1.5426,0.3209659,1.821888,1.459348,1.124224,0,53.63172,39.183,2.563457,159129.1,31
1130574,26,10,16,4.837807,-1,2.870568,3.277639,1.612147,0.2916187,1.756303,1.476003,1.141809,0,203.5033,38.70517,2.613186,155010.7,31
320346,27,12,15,4.935652,1,2.926976,3.313991,1.582659,0.2879211,1.786236,1.489338,1.132224,0,57.66228,41.32408,2.367095,163910.6,31
1112596,26,10,16,4.849376,-1,2.887244,3.268284,1.560678,0.253945,1.781541,1.483768,1.131974,0,200.2673,38.62431,2.601089,155911.2,31
1274342,25,10,15,4.889233,-1,2.966049,3.3556,1.600346,0.3630366,1.817216,1.457037,1.131337,0,229.3816,36.92011,2.887762,154234.5,31
1146468,24,12,12,4.211992,-1,2.620727,2.942795,1.366198,0.4370224,1.85601,1.43129,1.122893,0,206.3642,37.50566,3.034909,131036.3,31
311841,27,12,15,6.047773,1,3.529994,4.000542,1.916956,0.252709,1.784154,1.511738,1.1333,0,56.13138,39.47706,2.445371,197679.7,31
